# TRAINING DATA — SYNTHETIC
accuracy,recent_accuracy,attempt_count,failure_count,avg_response_time,difficulty_adjusted_accuracy,recent_trend,prerequisite_performance,knowledge_gap
0.985,0.975,1,0,22.2,1.0,-0.01,0.69,0
0.84,0.841,3,0,33.2,0.921,0.001,0.901,0
0.749,0.761,5,0,42.9,0.792,0.012,0.968,0
0.424,0.324,6,4,61.6,0.362,-0.1,0.525,1
0.736,0.883,1,0,31.0,0.785,0.147,0.674,0
0.704,0.738,4,0,28.0,0.729,0.034,0.962,0
0.746,0.731,5,1,33.5,0.815,-0.015,0.921,0
0.948,1.0,3,0,39.9,0.956,0.052,0.959,0
0.209,0.212,5,4,56.9,0.182,0.003,0.191,1
0.359,0.294,6,5,91.1,0.288,-0.065,0.196,1
0.183,0.172,3,3,85.9,0.154,-0.011,0.324,1
0.132,0.083,3,2,98.2,0.102,-0.049,0.377,1
0.448,0.436,4,4,84.5,0.341,-0.012,0.215,1
0.795,0.894,2,0,21.5,0.833,0.099,0.904,0
0.857,0.864,1,0,23.9,0.888,0.007,0.756,0
0.738,0.697,1,0,35.9,0.747,-0.041,0.954,0
0.962,1.0,4,1,28.2,0.98,0.038,0.668,0
0.843,0.957,4,1,17.2,0.896,0.114,0.669,0
0.253,0.179,3,1,91.3,0.198,-0.074,0.398,1
0.933,0.959,4,1,40.8,1.0,0.026,0.757,0
0.883,0.981,2,0,22.9,0.89,0.098,0.734,0
0.747,0.779,5,1,23.7,0.764,0.032,0.897,0
0.836,0.923,3,0,27.8,0.882,0.087,0.877,0
0.948,0.912,2,1,32.9,1.0,-0.036,0.972,0
0.841,0.852,4,1,30.0,0.883,0.011,0.678,0
0.194,0.125,4,2,60.9,0.173,-0.069,0.518,1
0.985,1.0,3,0,37.9,1.0,0.015,0.832,0
0.783,0.932,4,1,44.1,0.82,0.149,0.793,0
0.047,0.0,5,5,73.7,0.042,-0.047,0.507,1
0.836,0.849,3,0,44.1,0.87,0.013,0.83,0
0.897,0.956,4,0,20.6,0.929,0.059,0.915,0
0.928,0.919,5,0,42.8,0.969,-0.009,0.894,0
0.438,0.44,3,3,65.3,0.355,0.002,0.376,1
0.447,0.525,5,2,97.1,0.327,0.078,0.566,1
0.317,0.271,5,5,70.8,0.257,-0.046,0.292,1
0.852,0.978,1,0,38.2,0.925,0.126,0.769,0
0.78,0.731,3,1,41.0,0.815,-0.049,0.82,0
0.343,0.287,4,2,118.8,0.256,-0.056,0.291,1
0.823,0.837,4,1,26.6,0.878,0.014,0.937,0
0.849,0.806,5,1,41.1,0.923,-0.043,0.804,0
0.837,0.931,4,0,17.2,0.902,0.094,0.743,0
0.819,0.785,3,1,43.6,0.87,-0.034,0.961,0
0.862,0.935,2,1,44.9,0.926,0.073,0.802,0
0.285,0.353,5,3,100.1,0.251,0.068,0.123,1
0.788,0.813,2,0,30.9,0.833,0.025,0.927,0
0.036,0.104,6,4,87.3,0.029,0.068,0.216,1
0.838,0.921,4,1,35.3,0.851,0.083,0.805,0
0.264,0.274,5,4,84.7,0.201,0.01,0.6,1
0.732,0.758,3,1,44.8,0.754,0.026,0.992,0
0.782,0.845,1,0,40.0,0.853,0.063,0.922,0
0.361,0.266,3,3,71.3,0.307,-0.095,0.484,1
0.741,0.71,1,0,38.7,0.743,-0.031,0.778,0
0.409,0.341,5,3,68.1,0.351,-0.068,0.538,1
0.226,0.144,3,2,114.4,0.201,-0.082,0.584,1
0.392,0.443,5,2,64.1,0.35,0.051,0.53,1
0.994,1.0,5,1,17.7,1.0,0.006,0.743,0
0.166,0.203,4,4,79.8,0.137,0.037,0.286,1
0.841,0.915,5,1,42.5,0.86,0.074,0.672,0
0.973,0.983,4,0,19.2,1.0,0.01,0.757,0
0.729,0.856,2,1,28.6,0.778,0.127,0.91,0
0.826,0.924,2,1,34.6,0.895,0.098,0.865,0
0.784,0.872,2,1,28.3,0.803,0.088,0.777,0
0.81,0.94,3,0,26.9,0.825,0.13,0.693,0
0.836,0.919,5,0,16.5,0.864,0.083,0.996,0
0.762,0.878,5,0,32.6,0.824,0.116,0.732,0
0.937,1.0,3,0,44.6,0.988,0.063,0.929,0
0.39,0.273,4,2,93.3,0.274,-0.117,0.233,1
0.189,0.067,2,2,84.1,0.146,-0.122,0.397,1
0.766,0.839,5,1,28.7,0.84,0.073,0.671,0
0.82,0.907,4,1,17.2,0.827,0.087,0.863,0
0.124,0.132,6,5,79.8,0.102,0.008,0.247,1
0.829,0.938,1,0,27.9,0.903,0.109,0.795,0
0.82,0.916,3,1,24.4,0.841,0.096,0.984,0
0.842,0.81,1,0,28.0,0.905,-0.032,0.78,0
0.027,0.116,6,5,98.6,0.021,0.089,0.537,1
0.827,0.96,1,0,33.0,0.856,0.133,0.852,0
0.296,0.202,2,2,109.9,0.229,-0.094,0.481,1
0.942,1.0,5,0,33.3,1.0,0.058,0.893,0
0.123,0.164,4,3,55.4,0.107,0.041,0.383,1
0.743,0.82,1,0,37.4,0.759,0.077,0.797,0
0.167,0.197,6,3,112.4,0.122,0.03,0.477,1
0.037,0.0,5,5,94.5,0.029,-0.037,0.208,1
0.804,0.776,5,1,30.8,0.829,-0.028,0.727,0
0.716,0.707,2,0,37.9,0.737,-0.009,0.692,0
0.829,0.805,5,0,30.0,0.898,-0.024,0.932,0
0.388,0.249,2,2,114.9,0.338,-0.139,0.388,1
0.913,0.947,1,0,15.6,0.943,0.034,0.93,0
0.95,1.0,1,0,40.3,0.973,0.05,0.856,0
0.819,0.831,3,0,25.0,0.833,0.012,0.829,0
0.229,0.305,4,3,102.3,0.198,0.076,0.508,1
0.066,0.0,6,4,104.4,0.055,-0.066,0.189,1
0.848,0.949,5,1,35.4,0.923,0.101,0.875,0
0.797,0.941,3,0,28.2,0.834,0.144,0.871,0
0.877,0.897,1,0,28.9,0.88,0.02,0.779,0
0.29,0.384,2,2,85.1,0.235,0.094,0.496,1
0.835,0.947,2,1,33.2,0.877,0.112,0.985,0
0.943,1.0,1,0,16.2,1.0,0.057,0.997,0
0.883,0.906,3,1,27.3,0.913,0.023,0.859,0
0.894,0.857,1,0,23.5,0.959,-0.037,0.88,0
0.962,0.979,5,0,42.5,0.992,0.017,0.88,0
0.739,0.831,1,0,31.8,0.787,0.092,0.765,0
0.316,0.403,6,3,97.0,0.248,0.087,0.281,1
0.081,0.0,5,3,69.7,0.059,-0.081,0.139,1
0.73,0.834,5,0,34.9,0.794,0.104,0.866,0
0.746,0.732,5,0,36.6,0.749,-0.014,0.778,0
0.991,1.0,4,0,31.0,1.0,0.009,0.933,0
0.951,0.975,5,1,28.9,0.978,0.024,0.784,0
0.99,1.0,5,0,41.2,0.995,0.01,0.818,0
0.42,0.448,6,3,73.5,0.358,0.028,0.236,1
0.744,0.781,2,1,41.5,0.813,0.037,0.795,0
0.168,0.115,2,2,69.6,0.128,-0.053,0.15,1
0.801,0.78,1,0,42.5,0.839,-0.021,0.941,0
0.841,0.914,1,0,22.7,0.911,0.073,0.842,0
0.858,0.83,3,0,24.0,0.862,-0.028,0.797,0
0.837,0.809,4,0,34.0,0.885,-0.028,0.901,0
0.001,0.0,6,6,67.2,0.001,-0.001,0.362,1
0.429,0.415,6,3,80.4,0.341,-0.014,0.418,1
0.776,0.729,1,0,22.2,0.827,-0.047,0.686,0
0.927,0.904,3,1,39.4,0.943,-0.023,0.923,0
0.909,0.985,2,0,36.5,0.995,0.076,0.663,0
0.356,0.427,4,3,88.5,0.32,0.071,0.372,1
0.339,0.237,4,2,111.3,0.26,-0.102,0.162,1
0.4,0.436,5,4,118.3,0.32,0.036,0.349,1
0.856,0.966,4,0,27.9,0.941,0.11,0.713,0
0.046,0.0,4,3,84.0,0.039,-0.046,0.183,1
0.834,0.929,3,1,23.2,0.916,0.095,0.982,0
0.287,0.228,3,1,64.3,0.236,-0.059,0.491,1
0.03,0.075,4,3,79.9,0.024,0.045,0.403,1
0.985,1.0,1,0,30.9,1.0,0.015,0.877,0
0.051,0.085,5,5,114.4,0.037,0.034,0.487,1
0.764,0.836,4,0,18.7,0.829,0.072,0.808,0
0.834,0.802,3,1,36.3,0.88,-0.032,0.752,0
0.071,0.098,3,2,88.1,0.051,0.027,0.2,1
0.356,0.213,6,5,85.4,0.319,-0.143,0.165,1
0.72,0.75,4,1,38.1,0.779,0.03,0.676,0
0.893,0.933,5,1,18.9,0.967,0.04,0.843,0
0.93,0.906,5,0,39.9,0.978,-0.024,0.756,0
0.421,0.327,6,5,110.0,0.316,-0.094,0.418,1
0.738,0.749,5,0,30.1,0.75,0.011,0.98,0
0.296,0.326,6,5,109.8,0.241,0.03,0.513,1
0.02,0.03,6,5,97.3,0.017,0.01,0.308,1
0.849,0.924,3,1,29.5,0.917,0.075,0.89,0
0.033,0.0,5,5,86.5,0.024,-0.033,0.403,1
0.323,0.357,4,3,63.5,0.25,0.034,0.381,1
0.21,0.127,3,1,61.3,0.159,-0.083,0.292,1
0.774,0.897,2,1,43.0,0.83,0.123,0.716,0
0.448,0.415,4,3,56.5,0.398,-0.033,0.353,1
0.765,0.786,1,0,29.8,0.832,0.021,0.879,0
0.861,0.98,4,0,41.5,0.924,0.119,0.917,0
0.18,0.173,3,2,91.0,0.129,-0.007,0.352,1
0.784,0.932,5,0,18.9,0.792,0.148,0.781,0
0.867,0.89,2,0,33.1,0.902,0.023,0.664,0
0.321,0.372,6,6,64.7,0.282,0.051,0.17,1
0.796,0.825,5,1,32.8,0.836,0.029,0.828,0
0.869,0.914,1,0,24.9,0.879,0.045,0.796,0
0.404,0.472,2,2,72.3,0.336,0.068,0.586,1
0.768,0.728,4,0,30.7,0.823,-0.04,0.921,0
0.37,0.281,6,3,67.4,0.292,-0.089,0.309,1
0.761,0.811,5,1,41.2,0.817,0.05,0.672,0
0.093,0.024,5,5,75.4,0.068,-0.069,0.556,1
0.159,0.202,4,4,86.5,0.142,0.043,0.24,1
0.424,0.52,4,4,68.5,0.357,0.096,0.259,1
0.42,0.469,4,3,62.9,0.351,0.049,0.29,1
0.946,1.0,2,1,16.3,1.0,0.054,0.678,0
0.897,0.996,2,0,39.8,0.921,0.099,0.847,0
0.049,0.084,3,1,58.3,0.043,0.035,0.213,1
0.045,0.0,5,2,99.3,0.033,-0.045,0.582,1
0.747,0.828,4,1,34.5,0.803,0.081,0.751,0
0.027,0.069,6,4,89.8,0.023,0.042,0.568,1
0.753,0.879,2,0,44.9,0.783,0.126,0.823,0
0.989,1.0,1,0,24.0,1.0,0.011,0.975,0
0.204,0.214,6,6,112.8,0.148,0.01,0.352,1
0.364,0.297,5,4,101.7,0.256,-0.067,0.269,1
0.303,0.201,6,6,108.8,0.243,-0.102,0.143,1
0.755,0.733,3,0,15.2,0.784,-0.022,0.806,0
0.148,0.144,6,3,72.0,0.114,-0.004,0.218,1
0.84,0.822,5,1,35.7,0.894,-0.018,0.979,0
0.099,0.188,5,3,84.6,0.089,0.089,0.287,1
0.974,1.0,2,0,35.4,1.0,0.026,0.926,0
0.858,0.88,5,0,16.9,0.905,0.022,0.827,0
0.745,0.761,5,1,18.5,0.76,0.016,0.854,0
0.23,0.282,5,3,88.4,0.182,0.052,0.129,1
0.942,1.0,4,1,39.5,1.0,0.058,0.852,0
0.155,0.021,2,1,119.1,0.123,-0.134,0.244,1
0.061,0.071,5,4,119.5,0.047,0.01,0.535,1
0.813,0.9,5,0,34.6,0.841,0.087,0.712,0
0.859,0.955,2,0,37.7,0.943,0.096,0.812,0
0.827,0.853,2,0,28.8,0.84,0.026,0.716,0
0.93,0.886,4,0,22.2,0.936,-0.044,0.858,0
0.902,1.0,2,0,27.1,0.923,0.098,0.726,0
0.717,0.768,3,0,39.5,0.769,0.051,0.762,0
0.902,0.916,3,0,44.6,0.949,0.014,0.795,0
0.251,0.249,3,3,99.1,0.204,-0.002,0.123,1
0.289,0.234,6,5,100.3,0.226,-0.055,0.25,1
0.242,0.152,3,2,110.7,0.176,-0.09,0.332,1
0.186,0.14,6,4,80.2,0.14,-0.046,0.265,1
0.202,0.145,6,4,58.3,0.157,-0.057,0.402,1
0.033,0.084,6,4,86.2,0.029,0.051,0.266,1
0.705,0.842,1,0,42.4,0.754,0.137,0.896,0
0.108,0.038,4,3,85.3,0.09,-0.07,0.254,1
0.397,0.364,5,4,114.4,0.307,-0.033,0.307,1
0.766,0.745,3,1,23.9,0.781,-0.021,0.731,0
0.774,0.834,3,1,37.9,0.812,0.06,0.903,0
0.838,0.935,3,0,19.2,0.884,0.097,0.714,0
0.997,1.0,5,0,40.2,1.0,0.003,0.936,0
0.003,0.0,3,1,101.0,0.002,-0.003,0.353,1
0.278,0.295,6,6,97.9,0.195,0.017,0.366,1
0.705,0.799,5,1,15.5,0.762,0.094,0.886,0
0.973,0.944,1,0,22.2,1.0,-0.029,0.738,0
0.358,0.228,5,5,91.7,0.322,-0.13,0.213,1
0.954,1.0,1,0,27.2,0.99,0.046,0.817,0
0.911,0.878,4,1,32.0,0.989,-0.033,0.683,0
0.713,0.705,5,1,23.1,0.779,-0.008,0.89,0
0.244,0.259,3,2,56.0,0.181,0.015,0.172,1
0.946,1.0,3,0,31.9,1.0,0.054,0.947,0
0.862,0.889,2,0,30.0,0.946,0.027,0.669,0
0.952,0.97,5,1,44.1,0.983,0.018,0.872,0
0.835,0.831,5,1,28.0,0.892,-0.004,0.881,0
0.278,0.328,2,1,72.4,0.216,0.05,0.492,1
0.175,0.115,2,1,116.3,0.138,-0.06,0.481,1
0.039,0.0,6,6,61.7,0.028,-0.039,0.377,1
0.935,1.0,1,0,27.4,1.0,0.065,0.904,0
0.998,0.997,5,0,35.6,1.0,-0.001,0.744,0
0.066,0.0,4,3,74.5,0.057,-0.066,0.281,1
0.916,0.965,5,0,28.7,0.928,0.049,0.652,0
0.379,0.324,4,3,76.8,0.327,-0.055,0.53,1
0.741,0.755,2,1,24.4,0.812,0.014,0.989,0
0.313,0.286,6,4,76.2,0.237,-0.027,0.493,1
0.419,0.319,6,4,99.3,0.339,-0.1,0.577,1
0.913,0.951,3,0,39.6,0.986,0.038,0.793,0
0.89,0.888,2,1,38.7,0.897,-0.002,0.997,0
0.82,0.871,4,0,38.7,0.849,0.051,0.963,0
0.891,0.858,2,1,20.0,0.946,-0.033,0.847,0
0.894,1.0,3,1,18.2,0.903,0.106,0.728,0
0.867,0.955,2,1,26.2,0.907,0.088,0.888,0
0.745,0.895,4,0,23.9,0.814,0.15,0.68,0
0.919,0.939,3,1,38.5,0.967,0.02,0.772,0
0.325,0.288,2,2,57.9,0.274,-0.037,0.111,1
0.049,0.099,3,3,66.3,0.036,0.05,0.38,1
0.77,0.801,2,0,34.2,0.803,0.031,0.66,0
0.759,0.827,4,0,36.1,0.775,0.068,0.913,0
0.719,0.689,5,0,26.0,0.733,-0.03,0.69,0
0.847,0.99,3,1,33.3,0.897,0.143,0.772,0
0.885,0.998,3,0,35.2,0.913,0.113,0.734,0
0.168,0.053,5,5,93.8,0.137,-0.115,0.312,1
0.861,0.995,2,0,29.7,0.873,0.134,0.76,0
0.716,0.738,1,0,19.1,0.774,0.022,0.987,0
0.848,0.935,4,1,29.7,0.855,0.087,0.661,0
0.788,0.793,5,1,20.0,0.824,0.005,0.91,0
0.865,0.838,1,0,38.3,0.936,-0.027,0.778,0
0.712,0.806,5,0,44.7,0.719,0.094,0.941,0
0.789,0.939,4,1,25.5,0.853,0.15,0.804,0
0.933,0.93,5,1,40.8,0.99,-0.003,0.8,0
0.935,1.0,1,0,31.0,0.991,0.065,0.709,0
0.788,0.853,5,0,19.1,0.847,0.065,0.794,0
0.125,0.139,3,1,64.5,0.096,0.014,0.224,1
0.818,0.796,3,1,26.3,0.824,-0.022,0.928,0
0.821,0.921,3,1,43.5,0.848,0.1,0.651,0
0.92,1.0,4,1,40.5,0.993,0.08,0.789,0
0.947,0.996,3,1,25.1,1.0,0.049,0.848,0
0.803,0.89,1,0,18.0,0.866,0.087,0.811,0
0.386,0.346,2,2,68.2,0.323,-0.04,0.166,1
0.748,0.885,3,0,34.6,0.767,0.137,0.78,0
0.75,0.779,3,0,27.9,0.757,0.029,0.683,0
0.035,0.033,6,6,55.6,0.029,-0.002,0.509,1
0.827,0.803,1,0,26.5,0.887,-0.024,0.686,0
0.396,0.28,3,3,119.5,0.289,-0.116,0.365,1
0.293,0.253,3,3,103.6,0.259,-0.04,0.408,1
0.765,0.894,2,0,32.7,0.794,0.129,0.987,0
0.063,0.0,2,1,91.0,0.052,-0.063,0.404,1
0.907,1.0,3,0,30.5,0.953,0.093,0.912,0
0.025,0.099,3,2,80.1,0.019,0.074,0.419,1
0.4,0.253,4,3,63.6,0.349,-0.147,0.384,1
0.307,0.348,2,1,93.2,0.216,0.041,0.208,1
0.985,1.0,3,1,27.7,1.0,0.015,0.874,0
0.746,0.713,1,0,44.2,0.758,-0.033,0.764,0
0.929,1.0,1,0,36.0,0.997,0.071,0.946,0
0.039,0.0,5,2,75.1,0.033,-0.039,0.47,1
0.319,0.344,3,2,116.9,0.257,0.025,0.491,1
0.75,0.725,3,0,38.1,0.752,-0.025,0.932,0
0.029,0.057,6,3,87.2,0.023,0.028,0.128,1
0.75,0.731,1,0,21.9,0.788,-0.019,0.665,0
0.773,0.817,4,0,20.4,0.847,0.044,0.662,0
0.914,0.995,2,1,22.4,0.998,0.081,0.762,0
0.871,0.845,1,0,21.7,0.916,-0.026,0.666,0
0.963,1.0,3,1,17.6,1.0,0.037,0.779,0
0.353,0.388,3,2,78.9,0.316,0.035,0.599,1
0.92,0.979,2,0,15.2,0.958,0.059,0.732,0
0.378,0.447,4,2,104.3,0.293,0.069,0.469,1
0.092,0.188,5,5,117.5,0.082,0.096,0.171,1
0.02,0.0,6,6,100.6,0.015,-0.02,0.587,1
0.043,0.0,5,2,93.5,0.031,-0.043,0.431,1
0.131,0.194,5,4,75.7,0.099,0.063,0.137,1
0.351,0.347,3,1,65.7,0.278,-0.004,0.303,1
0.989,0.981,3,1,23.0,1.0,-0.008,0.705,0
0.948,1.0,1,0,40.1,0.979,0.052,0.682,0
0.16,0.138,4,3,108.3,0.118,-0.022,0.576,1
0.867,0.927,1,0,18.1,0.936,0.06,0.693,0
0.351,0.257,3,2,79.2,0.29,-0.094,0.422,1
0.778,0.891,1,0,20.9,0.828,0.113,0.933,0
0.381,0.433,2,1,116.2,0.271,0.052,0.562,1
0.917,0.966,4,1,20.2,0.937,0.049,0.716,0
0.398,0.257,6,4,97.1,0.318,-0.141,0.541,1
0.726,0.753,4,0,34.3,0.784,0.027,0.737,0
0.863,0.817,4,1,29.4,0.93,-0.046,0.77,0
0.796,0.8,1,0,32.9,0.798,0.004,0.934,0
0.364,0.332,4,4,120.0,0.326,-0.032,0.15,1
0.78,0.893,1,0,32.3,0.857,0.113,0.786,0
0.997,0.982,2,1,39.2,1.0,-0.015,0.97,0
0.315,0.402,6,4,91.6,0.232,0.087,0.594,1
0.848,0.86,4,0,17.7,0.868,0.012,0.727,0
0.7,0.834,2,0,25.2,0.712,0.134,0.931,0
0.718,0.698,2,0,40.4,0.78,-0.02,0.986,0
0.424,0.373,2,2,74.6,0.308,-0.051,0.179,1
0.938,1.0,3,0,36.2,0.991,0.062,0.961,0
0.807,0.89,2,1,24.2,0.863,0.083,0.695,0
0.985,1.0,4,0,20.5,1.0,0.015,0.933,0
0.892,0.863,4,0,24.9,0.899,-0.029,0.771,0
0.286,0.377,4,3,55.7,0.212,0.091,0.447,1
0.354,0.384,2,2,83.5,0.278,0.03,0.183,1
0.965,0.985,4,0,39.9,1.0,0.02,0.852,0
0.768,0.808,1,0,15.6,0.788,0.04,0.687,0
0.4,0.29,2,1,77.0,0.359,-0.11,0.547,1
0.829,0.91,5,1,19.7,0.837,0.081,0.722,0
0.314,0.345,6,5,97.9,0.238,0.031,0.148,1
0.247,0.22,2,2,55.2,0.177,-0.027,0.512,1
0.844,0.813,2,0,34.1,0.926,-0.031,0.816,0
0.353,0.321,4,2,96.7,0.274,-0.032,0.286,1
0.084,0.0,5,5,72.1,0.073,-0.084,0.382,1
0.313,0.187,4,4,81.9,0.266,-0.126,0.214,1
0.174,0.155,6,6,92.2,0.13,-0.019,0.249,1
0.384,0.243,6,4,62.8,0.327,-0.141,0.186,1
0.992,1.0,2,0,27.7,1.0,0.008,0.802,0
0.888,1.0,3,1,42.3,0.969,0.112,0.673,0
0.179,0.111,4,4,84.8,0.157,-0.068,0.493,1
0.857,0.891,4,0,19.4,0.907,0.034,0.915,0
0.977,1.0,1,0,41.0,1.0,0.023,0.957,0
0.295,0.288,5,2,66.2,0.23,-0.007,0.409,1
0.821,0.85,3,0,16.5,0.86,0.029,0.744,0
0.152,0.2,4,3,109.8,0.132,0.048,0.442,1
0.768,0.778,4,1,23.1,0.8,0.01,0.876,0
0.095,0.151,5,4,108.4,0.076,0.056,0.179,1
0.228,0.112,6,3,66.3,0.2,-0.116,0.2,1
0.015,0.0,4,4,67.9,0.012,-0.015,0.332,1
0.415,0.435,3,2,86.8,0.328,0.02,0.58,1
0.865,0.884,3,0,23.6,0.898,0.019,0.707,0
0.989,1.0,2,0,23.1,1.0,0.011,0.657,0
0.93,0.882,2,0,33.0,0.931,-0.048,0.738,0
0.792,0.935,3,1,41.9,0.859,0.143,0.811,0
0.136,0.116,6,6,93.0,0.095,-0.02,0.6,1
0.952,1.0,5,1,24.0,0.962,0.048,0.672,0
0.892,1.0,3,1,20.7,0.938,0.108,0.734,0
0.386,0.439,5,4,99.2,0.326,0.053,0.428,1
0.778,0.812,4,0,32.5,0.855,0.034,0.936,0
0.321,0.343,5,4,88.0,0.279,0.022,0.52,1
0.754,0.724,2,1,36.8,0.796,-0.03,0.969,0
0.97,1.0,2,1,21.7,1.0,0.03,0.797,0
0.812,0.879,4,0,29.1,0.882,0.067,0.854,0
0.721,0.849,5,0,41.0,0.749,0.128,0.754,0
0.384,0.268,3,2,81.6,0.313,-0.116,0.553,1
0.795,0.888,1,0,25.0,0.873,0.093,0.76,0
0.203,0.105,3,3,104.7,0.162,-0.098,0.482,1
0.277,0.285,5,5,117.7,0.215,0.008,0.119,1
0.168,0.022,4,4,67.4,0.14,-0.146,0.413,1
0.312,0.248,3,1,79.9,0.255,-0.064,0.184,1
0.789,0.797,5,1,28.0,0.843,0.008,0.697,0
0.847,0.947,2,1,15.6,0.866,0.1,0.995,0
0.01,0.0,2,2,101.2,0.009,-0.01,0.288,1
0.931,1.0,5,0,34.9,0.992,0.069,0.657,0
0.825,0.851,5,1,29.2,0.838,0.026,0.893,0
0.79,0.872,5,1,33.7,0.845,0.082,0.797,0
0.853,0.927,3,0,38.5,0.895,0.074,0.863,0
0.949,1.0,3,1,23.9,0.953,0.051,0.824,0
0.42,0.353,2,1,98.7,0.37,-0.067,0.518,1
0.745,0.713,5,0,36.7,0.753,-0.032,0.74,0
0.445,0.369,5,2,61.5,0.327,-0.076,0.12,1
0.361,0.289,2,1,110.3,0.317,-0.072,0.105,1
0.291,0.223,5,4,112.1,0.209,-0.068,0.507,1
0.18,0.271,4,3,99.8,0.143,0.091,0.311,1
0.75,0.727,1,0,18.1,0.818,-0.023,0.819,0
0.831,0.903,3,0,40.9,0.904,0.072,0.905,0
0.845,0.893,4,1,16.4,0.867,0.048,0.76,0
0.903,1.0,5,0,44.3,0.963,0.097,0.768,0
0.91,0.879,2,1,25.4,0.972,-0.031,0.785,0
0.868,1.0,1,0,34.3,0.882,0.132,0.947,0
0.961,0.926,4,1,22.2,1.0,-0.035,0.668,0
0.289,0.24,3,1,84.8,0.249,-0.049,0.324,1
